league,season,club,name,nation,pos,age,born,minute_90s,goals_against,pk_allowed,fk_goals_against,ck_goals_against,og_against,psxg,psxg_per_shot,psxg_net,psxg_net_per90,launched_passes_completed,launched_passes_att,launched_passes_completed_pct,passes_att_gk,throws_attempted,launch_pass_pct,avg_pass_len,goal_kicks_att, goal_kicks_launch_pct,goal_kicks_avg_len,crosses_faced,crosses_stopped,crosses_stopped_pct,def_act_outside_pen_area,def_act_outside_pen_area_per90,avg_distance_def_actions
ESP-La Liga,2021,Valladolid,Roberto,ESP,GK,34,1986,13.0,17,2,0,2,0,15.0,0.3,-2.0,-0.15,86,288,29.9,299,39,64.5,46.8,114,83.3,58.9,201,1,0.5,10,0.77,13.9
ESP-La Liga,2021,Villarreal,Gerónimo Rulli,ARG,GK,28,1992,2.0,4,0,0,0,0,2.7,0.33,-1.3,-0.67,10,25,40.0,76,18,21.1,25.9,21,42.9,41.1,33,1,3.0,0,0.0,9.7
ESP-La Liga,2021,Villarreal,Sergio Asenjo,ESP,GK,31,1989,36.0,40,7,0,3,2,36.0,0.24,-2.0,-0.06,157,406,38.7,1022,190,26.3,30.2,283,48.4,40.4,564,27,4.8,32,0.89,13.9
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24,1996,3.1,4,1,0,1,0,5.9,0.31,1.9,0.62,29,69,42.0,67,9,61.2,44.9,40,70.0,51.5,66,2,3.0,3,0.97,14.6
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29,1992,33.9,60,5,0,9,0,51.8,0.31,-8.2,-0.24,331,693,47.8,721,85,64.2,44.5,308,74.7,50.6,545,24,4.4,43,1.27,15.7
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20,2001,1.0,1,0,0,0,0,0.8,0.19,-0.2,-0.25,9,21,42.9,20,2,90.0,53.3,3,100.0,68.3,8,0,0.0,2,2.0,17.6
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20,2000,4.0,5,0,0,0,0,5.0,0.27,0.0,0.0,13,31,41.9,56,12,33.9,33.1,26,46.2,36.0,48,1,2.1,6,1.5,17.5
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24,1997,34.0,31,3,0,2,1,31.9,0.26,1.9,0.06,145,371,39.1,692,189,35.5,33.8,243,51.4,42.3,529,29,5.5,35,1.03,15.2
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28,1993,38.0,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29,1992,35.0,34,2,0,6,0,30.1,0.26,-3.9,-0.11,130,255,51.0,1072,147,17.6,26.9,205,32.2,33.9,342,15,4.4,34,0.97,15.3
ESP-La Liga,2122,Barcelona,Neto,BRA,GK,32,1989,3.0,4,0,1,1,0,4.1,0.29,0.1,0.02,17,34,50.0,106,18,28.3,31.6,24,16.7,29.2,42,0,0.0,4,1.33,18.0
ESP-La Liga,2122,Betis,Claudio Bravo,CHI,GK,38,1983,16.2,19,1,0,1,2,18.6,0.31,1.6,0.1,109,272,40.1,405,53,51.9,39.9,99,62.6,47.9,251,6,2.4,9,0.56,11.0
ESP-La Liga,2122,Betis,Rui Silva,POR,GK,27,1994,21.8,21,2,0,2,0,20.5,0.24,-0.5,-0.02,92,275,33.5,557,104,33.8,33.1,176,49.4,41.6,341,18,5.3,32,1.47,15.7
ESP-La Liga,2122,Celta Vigo,Matías Dituro,ARG,GK,34,1987,38.0,43,4,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3
ESP-La Liga,2122,Cádiz,Jeremías Ledesma,ARG,GK,28,1993,38.0,51,11,0,10,0,52.8,0.24,1.8,0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1
ESP-La Liga,2122,Elche,Kiko Casilla,ESP,GK,34,1986,14.0,17,0,0,1,0,17.2,0.29,0.2,0.01,75,218,34.4,348,77,42.5,36.4,136,51.5,40.8,217,8,3.7,15,1.07,15.2
ESP-La Liga,2122,Elche,Édgar Badía,ESP,GK,29,1992,24.0,35,7,0,5,0,37.3,0.26,2.3,0.1,182,408,44.6,618,106,41.9,36.1,210,71.0,49.2,399,17,4.3,41,1.71,16.2
ESP-La Liga,2122,Espanyol,Diego López,ESP,GK,39,1981,35.3,49,3,0,4,2,50.3,0.31,3.3,0.09,158,429,36.8,859,207,33.8,33.8,298,46.6,38.7,616,35,5.7,43,1.22,13.7
ESP-La Liga,2122,Espanyol,Joan García,ESP,GK,20,2001,1.2,3,0,0,0,0,1.0,0.33,-2.0,-1.68,4,10,40.0,32,9,25.0,28.8,2,100.0,71.0,16,0,0.0,5,4.17,26.3
ESP-La Liga,2122,Espanyol,Oier Olazábal,ESP,GK,31,1989,1.5,1,1,0,0,0,2.4,0.15,1.4,0.91,9,27,33.3,33,5,51.5,40.8,10,100.0,57.2,30,3,10.0,0,0.0,3.7
ESP-La Liga,2122,Getafe,David Soria,ESP,GK,28,1993,37.9,41,2,0,5,1,40.9,0.29,0.9,0.02,366,863,42.4,888,101,69.4,46.6,292,84.6,54.1,571,25,4.4,45,1.19,15.0
ESP-La Liga,2122,Getafe,Diego Conde,ESP,GK,22,1998,0.1,0,0,0,0,0,0.0,,0.0,0.0,0,6,0.0,4,0,100.0,61.0,2,100.0,68.0,5,1,20.0,0,0.0,5.0
ESP-La Liga,2122,Granada,Aarón Escandell,ESP,GK,25,1995,3.2,6,2,0,0,0,4.2,0.14,-1.8,-0.57,35,88,39.8,91,13,64.8,44.0,37,78.4,51.2,41,3,7.3,10,3.17,16.1
ESP-La Liga,2122,Granada,Luís Maximiano,POR,GK,22,1999,34.8,55,5,0,7,2,56.0,0.28,3.0,0.09,232,730,31.8,839,149,56.7,42.6,335,75.8,52.5,574,29,5.1,54,1.55,17.6
ESP-La Liga,2122,Levante,Aitor Fernández,ESP,GK,30,1991,13.0,29,1,0,8,0,23.5,0.27,-5.5,-0.42,59,154,38.3,286,66,41.6,36.2,92,38.0,34.9,177,9,5.1,21,1.62,18.1
ESP-La Liga,2122,Levante,Alejandro Primo,ESP,GK,17,2004,1.0,1,0,0,0,0,0.8,0.41,-0.2,-0.18,2,6,33.3,17,0,29.4,31.2,8,12.5,20.9,19,0,0.0,0,0.0,15.0
ESP-La Liga,2122,Levante,Cárdenas,ESP,GK,24,1997,24.0,46,4,1,5,0,41.5,0.31,-4.5,-0.19,92,296,31.1,525,85,41.9,36.6,198,38.4,35.7,332,10,3.0,26,1.08,15.6
ESP-La Liga,2122,Levante,Rúben Vezo,POR,DF,27,1994,26.9,0,0,0,0,0,0.0,,0.0,0.0,2,4,50.0,1,0,300.0,149.0,3,33.3,29.0,4,0,0.0,0,0.0,
ESP-La Liga,2122,Mallorca,Dominik Greif,SVK,GK,24,1997,1.0,3,0,1,0,0,1.5,0.24,-1.5,-1.53,1,10,10.0,21,6,33.3,34.1,10,30.0,32.7,13,0,0.0,1,1.0,12.5
ESP-La Liga,2122,Mallorca,Leo Román,ESP,GK,21,2000,2.0,5,1,0,0,1,3.6,0.17,-0.4,-0.18,9,27,33.3,51,7,39.2,34.2,16,43.8,36.6,36,1,2.8,5,2.5,18.9
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36,1985,21.0,26,2,0,1,1,27.2,0.32,2.2,0.11,140,357,39.2,453,67,53.9,40.5,188,60.1,43.9,333,14,4.2,9,0.43,11.6
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27,1993,14.0,29,3,0,4,2,21.4,0.31,-5.6,-0.4,94,201,46.8,270,50,52.2,39.4,90,66.7,48.4,194,2,1.0,5,0.36,12.6
ESP-La Liga,2122,Osasuna,Juan Pérez,ESP,GK,25,1996,2.0,3,0,0,1,1,1.1,0.26,-0.9,-0.47,8,26,30.8,32,6,56.3,43.6,9,88.9,61.6,17,1,5.9,7,3.5,22.0
ESP-La Liga,2122,Osasuna,Sergio Herrera,ESP,GK,28,1993,36.0,48,4,0,10,1,48.1,0.29,1.1,0.03,388,850,45.6,852,78,69.0,46.5,306,85.6,58.5,529,23,4.3,64,1.78,18.1
ESP-La Liga,2122,Rayo Vallecano,Luca Zidane,FRA,GK,23,1998,7.2,13,0,0,1,0,12.0,0.33,-1.0,-0.14,42,94,44.7,178,42,36.0,34.6,53,56.6,46.6,90,9,10.0,6,0.84,11.0
ESP-La Liga,2122,Rayo Vallecano,Stole Dimitrievski,MKD,GK,27,1993,30.8,37,7,0,3,1,37.7,0.23,1.7,0.05,182,554,32.9,711,151,54.3,42.1,230,73.0,53.5,405,35,8.6,35,1.14,13.9
ESP-La Liga,2122,Real Madrid,Andriy Lunin,UKR,GK,22,1999,2.0,2,1,0,0,0,3.6,0.22,1.6,0.81,5,10,50.0,57,13,7.0,23.3,23,26.1,33.6,39,3,7.7,0,0.0,9.9
ESP-La Liga,2122,Real Madrid,Thibaut Courtois,BEL,GK,29,1992,36.0,29,2,1,2,0,33.3,0.25,4.3,0.12,74,251,29.5,936,188,20.3,28.8,199,30.7,34.3,467,21,4.5,31,0.86,15.5
ESP-La Liga,2122,Real Sociedad,Mathew Ryan,AUS,GK,29,1992,3.0,5,1,0,3,0,4.1,0.21,-0.9,-0.31,16,55,29.1,88,14,47.7,39.4,19,68.4,46.6,57,3,5.3,3,1.0,13.7
ESP-La Liga,2122,Real Sociedad,Álex Remiro,ESP,GK,26,1995,35.0,32,4,1,5,0,31.4,0.24,-0.6,-0.02,195,466,41.8,1015,125,32.6,32.9,241,56.0,45.1,465,18,3.9,48,1.37,16.4
ESP-La Liga,2122,Sevilla,Javier Díaz,ESP,GK,24,1997,1.0,1,0,0,0,0,0.6,0.28,-0.4,-0.45,5,10,50.0,31,2,25.8,29.1,3,66.7,49.3,17,1,5.9,0,0.0,13.7
ESP-La Liga,2122,Sevilla,Marko Dmitrović,SRB,GK,29,1992,6.0,5,0,0,0,0,4.1,0.21,-0.9,-0.16,24,58,41.4,191,27,24.6,30.5,33,33.3,35.8,66,4,6.1,12,2.0,17.5
ESP-La Liga,2122,Sevilla,Yassine Bounou,MAR,GK,30,1991,31.0,24,2,2,6,0,26.6,0.24,2.6,0.09,152,378,40.2,829,116,30.2,33.1,241,53.1,41.2,420,27,6.4,24,0.77,12.8
ESP-La Liga,2122,Valencia,Giorgi Mamardashvili,GEO,GK,20,2000,18.0,20,2,0,2,0,21.1,0.26,1.1,0.06,115,314,36.6,346,64,57.8,41.4,149,76.5,53.7,273,13,4.8,29,1.61,16.3
ESP-La Liga,2122,Valencia,Jasper Cillessen,NED,GK,32,1989,16.2,29,5,0,4,2,28.6,0.31,1.6,0.1,104,242,43.0,351,69,49.0,39.8,94,74.5,54.6,195,6,3.1,14,0.86,16.0
ESP-La Liga,2122,Valencia,Jaume Doménech,ESP,GK,30,1990,3.8,4,0,0,1,1,4.3,0.39,1.3,0.34,29,67,43.3,75,7,56.0,42.6,32,78.1,52.6,66,1,1.5,2,0.52,9.3
ESP-La Liga,2122,Villarreal,Gerónimo Rulli,ARG,GK,29,1992,32.0,28,3,0,2,1,28.2,0.25,1.2,0.04,131,333,39.3,1073,161,23.1,29.7,214,39.7,37.4,478,22,4.6,52,1.63,16.5
ESP-La Liga,2122,Villarreal,Sergio Asenjo,ESP,GK,32,1989,6.0,9,1,0,1,0,8.9,0.28,-0.1,-0.01,15,52,28.8,170,38,21.2,28.0,56,28.6,32.2,105,3,2.9,14,2.33,16.8
ESP-La Liga,2223,Almería,Diego Mariño,ESP,GK,32,1990,0.5,2,0,0,0,0,1.4,0.28,-0.6,-1.25,2,3,66.7,3,1,33.3,35.7,5,40.0,45.6,12,0,0.0,0,0.0,7.0
ESP-La Liga,2223,Almería,Fernando,ESP,GK,32,1990,36.5,61,4,1,4,1,60.5,0.29,0.5,0.01,199,557,35.7,967,211,39.1,36.9,341,52.5,42.9,614,39,6.4,26,0.71,12.4
ESP-La Liga,2223,Almería,Fernando Pacheco,ESP,GK,30,1992,1.0,2,0,0,1,0,1.6,0.32,-0.4,-0.42,3,12,25.0,26,8,42.3,40.2,4,25.0,36.0,16,1,6.3,2,2.0,14.5
ESP-La Liga,2223,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,7.5,6,0,0,0,0,5.5,0.3,-0.5,-0.06,37,101,36.6,179,33,29.6,30.5,62,77.4,55.4,96,11,11.5,10,1.33,15.4
ESP-La Liga,2223,Athletic Club,Unai Simón,ESP,GK,25,1997,30.5,37,3,1,1,3,31.7,0.28,-2.3,-0.08,134,351,38.2,762,154,30.6,33.2,186,63.4,49.4,355,18,5.1,40,1.31,17.5
ESP-La Liga,2223,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,0.1,1,0,0,0,0,0.6,0.64,-0.4,-5.35,0,3,0.0,2,0,100.0,58.5,1,100.0,94.0,3,0,0.0,0,0.0,1.0
ESP-La Liga,2223,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,10.2,12,3,0,4,0,13.8,0.23,1.8,0.17,46,148,31.1,230,50,37.4,34.1,99,62.6,47.4,214,23,10.7,7,0.68,9.2
ESP-La Liga,2223,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,27.7,20,1,1,1,0,21.9,0.27,1.9,0.07,120,374,32.1,586,115,40.4,36.1,228,60.1,46.0,358,25,7.0,19,0.69,14.2
ESP-La Liga,2223,Barcelona,Iñaki Peña,ESP,GK,23,1999,0.8,2,0,0,0,0,1.4,0.36,-0.6,-0.7,1,3,33.3,23,5,13.0,25.2,4,0.0,22.8,7,0,0.0,2,2.47,16.5
ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,GER,GK,30,1992,37.2,18,3,0,2,3,23.7,0.21,8.7,0.23,168,335,50.1,1215,185,22.1,28.9,197,34.0,35.2,368,18,4.9,41,1.1,16.4
ESP-La Liga,2223,Betis,Claudio Bravo,CHI,GK,39,1983,12.0,9,1,0,1,0,11.0,0.24,2.0,0.17,75,225,33.3,288,42,51.7,39.6,101,75.2,52.5,213,4,1.9,6,0.5,12.1
ESP-La Liga,2223,Betis,Rui Silva,POR,GK,28,1994,26.0,32,2,1,6,1,32.9,0.3,1.9,0.07,154,410,37.6,668,107,40.7,35.6,214,64.5,47.5,369,18,4.9,37,1.42,16.6
ESP-La Liga,2223,Celta Vigo,Agustín Marchesín,ARG,GK,34,1988,19.0,29,2,1,4,1,20.7,0.24,-7.3,-0.38,103,267,38.6,500,75,39.8,35.3,131,51.9,42.9,253,14,5.5,25,1.32,18.1
ESP-La Liga,2223,Celta Vigo,Iván Villar,ESP,GK,25,1997,19.0,24,3,0,6,0,22.2,0.31,-1.8,-0.09,81,239,33.9,435,96,34.7,33.8,157,56.1,44.8,256,8,3.1,14,0.74,14.2
ESP-La Liga,2223,Cádiz,David Gil,ESP,GK,28,1994,4.0,5,1,0,1,0,6.3,0.23,1.3,0.32,34,94,36.2,93,15,64.5,46.4,36,94.4,65.1,56,2,3.6,4,1.0,13.6
ESP-La Liga,2223,Cádiz,Jeremías Ledesma,ARG,GK,29,1993,34.0,48,8,1,6,0,47.1,0.22,-0.9,-0.03,236,735,32.1,824,135,58.5,44.9,285,88.8,64.1,595,42,7.1,26,0.76,10.8
ESP-La Liga,2223,Elche,Axel Werner,ARG,GK,26,1996,2.0,4,0,0,2,0,2.4,0.31,-1.6,-0.82,4,20,20.0,53,9,32.1,34.9,16,18.8,33.8,26,1,3.8,1,0.5,14.0
ESP-La Liga,2223,Elche,Édgar Badía,ESP,GK,30,1992,36.0,63,7,0,4,2,69.5,0.31,8.5,0.24,191,422,45.3,772,166,33.8,34.2,296,54.4,41.7,574,21,3.7,20,0.56,12.7
ESP-La Liga,2223,Espanyol,Benjamin Lecomte,FRA,GK,31,1991,10.0,14,0,0,2,1,10.4,0.26,-2.6,-0.26,72,160,45.0,192,25,57.3,43.1,80,62.5,47.0,146,4,2.7,11,1.1,15.3
ESP-La Liga,2223,Espanyol,Fernando Pacheco,ESP,GK,30,1992,16.0,33,4,0,3,0,26.6,0.25,-6.4,-0.4,127,272,46.7,417,56,42.4,36.2,137,69.3,49.6,242,16,6.6,19,1.19,13.8
ESP-La Liga,2223,Espanyol,Joan García,ESP,GK,21,2001,1.0,3,1,0,0,0,1.8,0.21,-1.2,-1.16,2,6,33.3,27,4,14.8,21.7,3,66.7,47.3,16,2,12.5,1,1.0,13.0
ESP-La Liga,2223,Espanyol,Álvaro Fernández,ESP,GK,24,1998,11.0,18,0,0,4,1,15.2,0.31,-1.8,-0.17,104,221,47.1,253,37,55.7,42.5,103,77.7,54.8,153,5,3.3,15,1.36,16.3
ESP-La Liga,2223,Getafe,David Soria,ESP,GK,29,1993,38.0,45,4,0,7,2,45.5,0.23,2.5,0.07,409,904,45.2,782,99,75.1,49.8,347,91.4,59.8,586,36,6.1,46,1.21,15.0
ESP-La Liga,2223,Girona,Juan Carlos,ESP,GK,34,1988,10.0,18,2,2,1,0,16.7,0.35,-1.3,-0.13,23,64,35.9,278,51,17.6,28.7,62,24.2,30.3,120,6,5.0,21,2.1,16.9
ESP-La Liga,2223,Girona,Paulo Gazzaniga,ARG,GK,30,1992,28.0,37,4,0,4,0,45.3,0.33,8.3,0.3,146,400,36.5,822,141,31.1,32.4,242,59.5,47.9,477,37,7.8,38,1.36,15.1
ESP-La Liga,2223,Mallorca,Dominik Greif,SVK,GK,25,1997,1.0,3,0,0,0,0,2.2,0.28,-0.8,-0.76,19,34,55.9,23,2,87.0,54.9,15,93.3,64.5,19,2,10.5,0,0.0,4.0
ESP-La Liga,2223,Mallorca,Leo Román,ESP,GK,22,2000,1.0,0,0,0,0,0,0.1,0.03,0.1,0.11,9,21,42.9,30,3,40.0,35.2,12,75.0,48.8,30,1,3.3,2,2.0,17.4
ESP-La Liga,2223,Mallorca,Predrag Rajković,SRB,GK,26,1995,36.0,40,6,0,3,0,39.2,0.25,-0.8,-0.02,323,786,41.1,899,125,61.8,45.4,309,74.4,54.0,608,32,5.3,19,0.53,11.7
ESP-La Liga,2223,Osasuna,Aitor Fernández,ESP,GK,31,1991,21.0,19,0,0,0,1,17.7,0.24,-0.3,-0.01,191,438,43.6,615,87,50.9,41.1,174,71.8,54.2,319,14,4.4,37,1.76,16.3
ESP-La Liga,2223,Osasuna,Sergio Herrera,ESP,GK,29,1993,17.0,23,1,1,3,1,21.4,0.28,-0.6,-0.04,151,351,43.0,475,58,56.0,42.7,135,63.0,48.3,215,16,7.4,20,1.18,18.5
ESP-La Liga,2223,Rayo Vallecano,Diego López,ESP,GK,40,1981,1.1,4,0,0,2,0,1.7,0.33,-2.3,-2.19,2,8,25.0,21,5,28.6,30.3,8,25.0,35.3,12,0,0.0,2,1.88,17.0
ESP-La Liga,2223,Rayo Vallecano,Stole Dimitrievski,MKD,GK,28,1993,36.9,49,4,0,9,4,44.2,0.3,-0.8,-0.02,152,537,28.3,816,199,45.0,38.6,299,56.9,46.7,500,24,4.8,52,1.41,16.1
ESP-La Liga,2223,Real Madrid,Andriy Lunin,UKR,GK,23,1999,7.0,7,0,0,1,1,4.5,0.25,-1.5,-0.21,14,27,51.9,190,36,7.9,23.3,37,32.4,35.6,54,1,1.9,11,1.57,21.7
ESP-La Liga,2223,Real Madrid,Thibaut Courtois,BEL,GK,30,1992,31.0,29,4,0,1,0,29.7,0.22,0.7,0.02,83,214,38.8,982,194,18.4,27.7,152,21.7,29.5,366,32,8.7,40,1.29,15.4
ESP-La Liga,2223,Real Sociedad,Álex Remiro,ESP,GK,27,1995,38.0,35,1,1,3,2,32.8,0.24,-0.2,0.0,244,572,42.7,1090,138,39.8,35.9,216,63.9,51.3,453,18,4.0,47,1.24,15.9
ESP-La Liga,2223,Sevilla,Marko Dmitrović,SRB,GK,30,1992,14.1,13,0,0,2,1,12.2,0.23,0.2,0.02,103,326,31.6,372,44,58.1,44.0,131,84.0,62.4,216,12,5.6,10,0.71,12.2
ESP-La Liga,2223,Sevilla,Yassine Bounou,MAR,GK,31,1991,23.9,41,2,1,3,2,37.3,0.34,-1.7,-0.07,115,303,38.0,785,92,27.9,30.9,162,51.9,42.1,308,20,6.5,39,1.63,17.4
ESP-La Liga,2223,Valencia,Giorgi Mamardashvili,GEO,GK,21,2000,38.0,45,2,0,7,2,42.9,0.28,-0.1,0.0,177,522,33.9,843,142,40.8,35.1,239,74.5,54.2,457,35,7.7,47,1.24,16.3
ESP-La Liga,2223,Valladolid,Jordi Masip,ESP,GK,33,1989,27.9,42,5,0,0,1,45.8,0.27,4.8,0.17,133,389,34.2,722,121,36.8,35.9,239,51.5,41.9,396,15,3.8,14,0.5,12.7
ESP-La Liga,2223,Valladolid,Sergio Asenjo,ESP,GK,33,1989,10.0,21,1,1,0,0,16.8,0.31,-4.2,-0.42,58,162,35.8,260,46,38.8,35.8,92,66.3,51.2,166,5,3.0,17,1.7,16.1
ESP-La Liga,2223,Valladolid,Álvaro Aceves,ESP,GK,19,2003,0.1,0,0,0,0,0,0.1,0.04,0.1,0.9,1,2,50.0,7,3,28.6,25.7,1,0.0,24.0,1,0,0.0,2,13.85,33.0
ESP-La Liga,2223,Villarreal,Filip Jørgensen,DEN,GK,20,2002,2.0,3,0,0,0,0,2.3,0.39,-0.7,-0.34,0,4,0.0,44,9,9.1,22.8,11,0.0,17.5,18,2,11.1,4,2.0,13.3
ESP-La Liga,2223,Villarreal,Gerónimo Rulli,ARG,GK,30,1992,14.0,10,0,0,1,0,12.5,0.23,2.5,0.18,50,119,42.0,451,70,19.3,28.8,92,34.8,37.9,215,20,9.3,21,1.5,15.5
ESP-La Liga,2223,Villarreal,Pepe Reina,ESP,GK,39,1982,22.0,27,4,0,3,1,28.9,0.29,2.9,0.13,64,207,30.9,736,112,22.1,28.8,118,37.3,35.7,315,15,4.8,20,0.91,14.6
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,38,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5.0,29,0.85,13.1
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2.0,15.2
ESP-La Liga,2324,Almería,Diego Mariño,ESP,GK,33,1990,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7
ESP-La Liga,2324,Almería,Fernando,ESP,GK,33,1990,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5
ESP-La Liga,2324,Almería,Luís Maximiano,POR,GK,24,1999,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5
ESP-La Liga,2324,Athletic Club,Julen Agirrezabala,ESP,GK,22,2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3
ESP-La Liga,2324,Athletic Club,Unai Simón,ESP,GK,26,1997,35.4,33,1,0,2,4,38.0,0.28,9.0,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,30,1993,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24,1999,10.0,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31,1992,28.0,27,2,0,1,0,27.7,0.25,0.7,0.03,92,167,55.1,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,1.11,15.6
ESP-La Liga,2324,Betis,Claudio Bravo,CHI,GK,40,1983,7.0,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6
ESP-La Liga,2324,Betis,Fran Vieites,ESP,GK,24,1999,3.5,4,0,1,0,0,4.5,0.25,0.5,0.15,13,50,26.0,82,18,37.8,36.5,35,54.3,46.4,65,3,4.6,2,0.57,10.5
ESP-La Liga,2324,Betis,Rui Silva,POR,GK,29,1994,27.5,36,7,2,3,2,37.5,0.26,3.5,0.13,129,380,33.9,772,119,36.0,33.5,183,55.7,43.0,375,31,8.3,34,1.24,14.9
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26,1997,11.3,18,2,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.0,7.0
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9
ESP-La Liga,2324,Getafe,Daniel Fuzato,BRA,GK,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.0,10.7
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30,1993,37.9,52,5,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,458,17,3.7,62,1.63,17.3
ESP-La Liga,2324,Girona,Paulo Gazzaniga,ARG,GK,31,1992,38.0,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2
ESP-La Liga,2324,Granada,André Ferreira,POR,GK,27,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6
ESP-La Liga,2324,Granada,Augusto Batalla,ARG,GK,27,1996,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2
ESP-La Liga,2324,Granada,Marc Martínez,ESP,GK,33,1990,3.0,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0
ESP-La Liga,2324,Granada,Raúl Fernández,ESP,GK,35,1988,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3
ESP-La Liga,2324,Las Palmas,Aarón Escandell,ESP,GK,27,1995,1.7,3,0,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50.0,41.3,24,1,4.2,4,2.35,18.0
