league,season,team,name,nation,pos,age,born,minute_90s,sca,sca_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
ENG-Premier League,2223,Nott'ham Forest,Jesse Lingard,ENG,"FW,MF",29,1992,10.3,25,2.44,18,1,2,3,1,0,2,0.2,1,0,0,1,0,0
ENG-Premier League,2223,Nott'ham Forest,Joe Worrall,ENG,DF,25,1997,24.7,16,0.65,14,1,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Jonjo Shelvey,ENG,MF,30,1992,6.0,16,2.67,11,4,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Keylor Navas,CRC,GK,35,1986,17.0,3,0.18,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Lewis O'Brien,ENG,MF,23,1998,6.5,21,3.24,14,0,1,1,3,2,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Morgan Gibbs-White,ENG,"MF,FW",22,2000,33.0,119,3.6,72,27,9,6,2,3,12,0.36,6,3,1,2,0,0
ENG-Premier League,2223,Nott'ham Forest,Moussa Niakhate,SEN,DF,26,1996,12.9,9,0.7,4,5,0,0,0,0,1,0.08,0,1,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Neco Williams,WAL,DF,21,2001,20.9,39,1.86,23,4,4,2,3,3,2,0.1,1,0,0,1,0,0
ENG-Premier League,2223,Nott'ham Forest,Orel Mangala,BEL,MF,24,1998,17.2,13,0.76,11,0,0,0,2,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Remo Freuler,SUI,MF,30,1992,24.0,29,1.21,27,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Renan Lodi,BRA,DF,24,1998,24.6,30,1.22,22,6,0,1,1,0,4,0.16,3,0,0,1,0,0
ENG-Premier League,2223,Nott'ham Forest,Ryan Yates,ENG,MF,24,1997,20.4,24,1.18,18,0,0,4,2,0,3,0.15,1,0,0,2,0,0
ENG-Premier League,2223,Nott'ham Forest,Sam Surridge,ENG,FW,24,1998,3.6,4,1.11,3,0,0,1,0,0,1,0.28,1,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Scott McKenna,SCO,DF,25,1996,17.5,10,0.57,10,0,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Serge Aurier,CIV,DF,29,1992,21.6,26,1.2,21,2,0,0,2,1,1,0.05,0,1,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Steve Cook,ENG,DF,31,1991,10.6,6,0.56,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,24,1997,15.6,25,1.6,18,0,2,2,2,1,4,0.26,2,0,1,1,0,0
ENG-Premier League,2223,Nott'ham Forest,Wayne Hennessey,WAL,GK,35,1987,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Nott'ham Forest,Willy Boly,CIV,DF,31,1991,7.6,5,0.66,5,0,0,0,0,0,1,0.13,1,0,0,0,0,0
ENG-Premier League,2223,Southampton,Adam Armstrong,ENG,"FW,MF",25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1
ENG-Premier League,2223,Southampton,Ainsley Maitland-Niles,ENG,"DF,MF",24,1997,15.6,24,1.54,22,0,1,0,1,0,2,0.13,1,0,0,0,1,0
ENG-Premier League,2223,Southampton,Alex McCarthy,ENG,GK,32,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Armel Bella Kotchap,GER,DF,20,2001,20.9,14,0.67,7,0,1,3,2,1,2,0.1,1,0,0,1,0,0
ENG-Premier League,2223,Southampton,Carlos Alcaraz,ARG,"MF,FW",19,2002,11.4,22,1.92,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0
ENG-Premier League,2223,Southampton,Che Adams,SCO,FW,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0
ENG-Premier League,2223,Southampton,Dominic Ballard,ENG,"FW,MF",17,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Duje Ćaleta-Car,CRO,DF,25,1996,10.5,6,0.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Gavin Bazunu,IRL,GK,20,2002,32.0,7,0.22,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Ibrahima Diallo,FRA,MF,23,1999,9.1,10,1.1,8,0,1,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Jack Stephens,ENG,DF,28,1994,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,James Bree,ENG,DF,24,1997,4.1,6,1.47,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,James Ward-Prowse,ENG,MF,27,1994,37.5,127,3.39,62,59,1,3,1,1,9,0.24,3,3,1,2,0,0
ENG-Premier League,2223,Southampton,Jan Bednarek,POL,DF,26,1996,18.6,7,0.38,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Joe Aribo,NGA,"MF,FW",26,1996,13.6,27,1.99,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0
ENG-Premier League,2223,Southampton,Juan Larios,ESP,DF,18,2004,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0
ENG-Premier League,2223,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",20,2002,10.7,40,3.72,24,0,9,4,1,2,3,0.28,2,0,1,0,0,0
ENG-Premier League,2223,Southampton,Kami Doyle,ENG,MF,16,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Kyle Walker-Peters,ENG,DF,25,1997,29.4,53,1.8,33,4,8,3,4,1,3,0.1,1,1,0,0,0,1
ENG-Premier League,2223,Southampton,Lyanco,BRA,DF,25,1997,13.1,9,0.69,6,1,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Mislav Oršić,CRO,MF,29,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Mohamed Elyounoussi,NOR,"MF,FW",27,1994,24.1,41,1.7,34,0,1,2,3,1,4,0.17,4,0,0,0,0,0
ENG-Premier League,2223,Southampton,Mohammed Salisu,GHA,DF,23,1999,21.9,25,1.14,16,5,1,3,0,0,3,0.14,1,1,0,1,0,0
ENG-Premier League,2223,Southampton,Moussa Djenepo,MLI,"DF,FW",24,1998,7.9,17,2.15,12,0,2,1,2,0,4,0.51,2,0,2,0,0,0
ENG-Premier League,2223,Southampton,Nathan Redmond,ENG,DF,28,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Oriol Romeu,ESP,MF,30,1991,0.8,3,3.65,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Paul Onuachu,NGA,FW,28,1994,4.5,7,1.55,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Romain Perraud,FRA,DF,24,1997,20.4,38,1.86,23,1,4,8,1,1,5,0.25,3,0,1,0,1,0
ENG-Premier League,2223,Southampton,Roméo Lavia,BEL,MF,18,2004,24.7,41,1.66,31,2,3,1,3,1,3,0.12,1,0,0,0,1,1
ENG-Premier League,2223,Southampton,Samuel Amo-Ameyaw,ENG,MF,16,2006,0.0,1,22.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Samuel Edozie,ENG,"FW,MF",19,2003,6.3,20,3.18,13,0,3,0,4,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Sekou Mara,FRA,"FW,MF",20,2002,6.2,12,1.95,8,0,3,0,0,1,3,0.49,2,0,1,0,0,0
ENG-Premier League,2223,Southampton,Stuart Armstrong,SCO,"MF,FW",30,1992,15.6,50,3.2,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0
ENG-Premier League,2223,Southampton,Theo Walcott,ENG,"FW,MF",33,1989,12.5,28,2.23,23,0,0,4,1,0,2,0.16,2,0,0,0,0,0
ENG-Premier League,2223,Southampton,Valentino Livramento,ENG,"DF,FW",19,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Southampton,Yan Valery,TUN,DF,23,1999,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Arnaut Danjuma,NED,"FW,MF",25,1997,1.9,4,2.13,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Ben Davies,WAL,DF,29,1993,25.4,37,1.46,33,1,0,3,0,0,7,0.28,5,0,0,2,0,0
ENG-Premier League,2223,Tottenham,Bryan Gil,ESP,"MF,FW",21,2001,1.6,5,3.04,4,0,1,0,0,0,3,1.82,3,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Clément Lenglet,FRA,DF,27,1995,22.4,23,1.03,20,1,0,0,1,1,5,0.22,5,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Cristian Romero,ARG,DF,24,1998,26.3,24,0.91,22,0,0,0,1,1,4,0.15,3,0,0,0,1,0
ENG-Premier League,2223,Tottenham,Davinson Sánchez,COL,DF,26,1996,9.5,5,0.53,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Dejan Kulusevski,SWE,"MF,FW",22,2000,23.0,97,4.22,71,5,15,5,0,1,11,0.48,9,1,1,0,0,0
ENG-Premier League,2223,Tottenham,Djed Spence,ENG,"FW,DF",21,2000,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Emerson,BRA,DF,23,1999,19.3,36,1.87,32,0,0,1,2,1,2,0.1,2,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Eric Dier,ENG,DF,28,1994,31.3,29,0.93,24,1,0,4,0,0,2,0.06,1,0,0,1,0,0
ENG-Premier League,2223,Tottenham,Fraser Forster,ENG,GK,34,1988,13.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,George Abbott,ENG,MF,16,2005,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Harry Kane,ENG,FW,29,1993,37.8,131,3.46,89,2,13,12,12,3,18,0.48,10,0,2,3,3,0
ENG-Premier League,2223,Tottenham,Harvey White,ENG,MF,20,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Hugo Lloris,FRA,GK,35,1986,24.5,5,0.2,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Ivan Perišić,CRO,"DF,MF",33,1989,23.4,75,3.2,55,16,1,2,1,0,11,0.47,7,3,1,0,0,0
ENG-Premier League,2223,Tottenham,Japhet Tanganga,ENG,DF,23,1999,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Lucas Moura,BRA,"MF,DF",29,1992,1.7,9,5.29,6,0,1,0,1,1,1,0.59,0,0,1,0,0,0
ENG-Premier League,2223,Tottenham,Matt Doherty,IRL,"DF,MF",30,1992,7.4,18,2.43,13,0,2,2,1,0,3,0.41,2,0,0,1,0,0
ENG-Premier League,2223,Tottenham,Matthew Craig,SCO,MF,19,2003,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Oliver Skipp,ENG,MF,21,2000,16.6,27,1.63,24,0,0,0,2,1,1,0.06,0,0,0,0,1,0
ENG-Premier League,2223,Tottenham,Pape Matar Sarr,SEN,"MF,FW",19,2002,2.4,4,1.65,4,0,0,0,0,0,2,0.83,2,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Pedro Porro,ESP,"DF,MF",22,1999,12.6,41,3.26,29,7,1,2,1,1,6,0.48,6,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Pierre Højbjerg,DEN,MF,26,1995,34.8,97,2.79,89,0,2,2,1,3,14,0.4,14,0,0,0,0,0
ENG-Premier League,2223,Tottenham,Richarlison,BRA,"MF,FW",25,1997,11.2,35,3.12,22,0,1,4,8,0,5,0.45,3,0,0,0,2,0
ENG-Premier League,2223,Tottenham,Rodrigo Bentancur,URU,MF,25,1997,16.7,34,2.04,27,0,1,2,1,3,5,0.3,2,0,0,1,0,2
ENG-Premier League,2223,Tottenham,Ryan Sessegnon,ENG,DF,22,2000,9.0,23,2.55,16,0,0,5,1,1,2,0.22,1,0,0,1,0,0
ENG-Premier League,2223,Tottenham,Son Heung-min,KOR,"MF,FW",30,1992,32.1,122,3.8,74,27,7,10,4,0,13,0.4,8,3,2,0,0,0
ENG-Premier League,2223,Tottenham,Yves Bissouma,MLI,MF,25,1996,11.2,29,2.58,24,0,1,1,1,2,1,0.09,1,0,0,0,0,0
ENG-Premier League,2223,West Ham,Aaron Cresswell,ENG,DF,32,1989,24.8,73,2.94,43,27,0,2,1,0,1,0.04,0,1,0,0,0,0
ENG-Premier League,2223,West Ham,Alphonse Areola,FRA,GK,29,1993,3.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Angelo Ogbonna,ITA,DF,34,1988,13.7,6,0.44,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Ben Johnson,ENG,DF,22,2000,9.6,8,0.83,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Conor Coventry,IRL,"MF,FW",22,2000,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Craig Dawson,ENG,DF,32,1990,8.0,12,1.5,10,0,0,1,1,0,1,0.12,0,0,0,0,1,0
ENG-Premier League,2223,West Ham,Danny Ings,ENG,FW,30,1992,8.6,12,1.4,11,0,1,0,0,0,3,0.35,3,0,0,0,0,0
ENG-Premier League,2223,West Ham,Declan Rice,ENG,MF,23,1999,36.4,100,2.75,86,7,1,1,2,3,6,0.16,6,0,0,0,0,0
ENG-Premier League,2223,West Ham,Divin Mubama,ENG,FW,17,2004,0.4,2,4.74,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Emerson Palmieri,ITA,DF,27,1994,14.7,29,1.98,20,4,1,1,2,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Flynn Downes,ENG,MF,23,1999,8.5,13,1.54,8,0,0,3,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Gianluca Scamacca,ITA,FW,23,1999,10.3,24,2.33,20,0,1,2,0,1,1,0.1,1,0,0,0,0,0
ENG-Premier League,2223,West Ham,Jarrod Bowen,ENG,"FW,MF",25,1996,35.9,108,3.01,58,15,10,13,10,2,14,0.39,6,3,0,2,3,0
ENG-Premier League,2223,West Ham,Kurt Zouma,FRA,DF,27,1994,22.1,9,0.41,7,1,0,1,0,0,2,0.09,1,0,0,1,0,0
ENG-Premier League,2223,West Ham,Lucas Paquetá,BRA,MF,24,1997,23.9,79,3.3,57,1,4,8,6,3,12,0.5,6,0,1,3,2,0
ENG-Premier League,2223,West Ham,Manuel Lanzini,ARG,"MF,FW",29,1993,2.8,4,1.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Maxwel Cornet,CIV,FW,25,1996,2.7,6,2.23,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Michail Antonio,JAM,FW,32,1990,20.3,39,1.92,24,0,7,3,5,0,9,0.44,6,0,3,0,0,0
ENG-Premier League,2223,West Ham,Nayef Aguerd,MAR,DF,26,1996,17.7,14,0.79,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,West Ham,Pablo Fornals,ESP,"FW,MF",26,1996,16.7,57,3.41,48,4,1,3,0,1,3,0.18,2,0,1,0,0,0
ENG-Premier League,2223,West Ham,Saïd Benrahma,ALG,"FW,MF",26,1995,23.0,92,4.0,68,2,11,8,3,0,5,0.22,4,0,1,0,0,0
ENG-Premier League,2223,West Ham,Thilo Kehrer,GER,DF,25,1996,24.8,24,0.97,17,4,0,3,0,0,4,0.16,2,1,0,1,0,0
ENG-Premier League,2223,West Ham,Tomáš Souček,CZE,MF,27,1995,31.3,52,1.66,41,0,0,8,1,2,3,0.1,2,0,0,1,0,0
ENG-Premier League,2223,West Ham,Vladimír Coufal,CZE,DF,29,1992,23.7,52,2.19,36,13,0,1,2,0,3,0.13,2,1,0,0,0,0
ENG-Premier League,2223,West Ham,Łukasz Fabiański,POL,GK,37,1985,34.6,2,0.06,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Adama Traoré,ESP,"FW,MF",26,1996,16.6,45,2.71,37,0,3,2,3,0,4,0.24,2,0,0,2,0,0
ENG-Premier League,2223,Wolves,Boubacar Traoré,MLI,MF,20,2001,4.6,6,1.32,6,0,0,0,0,0,2,0.44,2,0,0,0,0,0
ENG-Premier League,2223,Wolves,Chem Campbell,WAL,"FW,MF",19,2002,0.8,2,2.43,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Connor Ronan,IRL,MF,24,1998,0.0,1,90.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Craig Dawson,ENG,DF,32,1990,15.7,6,0.38,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Daniel Bentley,ENG,GK,29,1993,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Daniel Podence,POR,"FW,MF",26,1995,19.7,69,3.51,46,9,3,8,2,1,3,0.15,2,0,1,0,0,0
ENG-Premier League,2223,Wolves,Dexter Lembikisa,JAM,DF,18,2003,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Diego Costa,ESP,FW,33,1988,13.8,23,1.67,15,0,3,3,2,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,2223,Wolves,Gonçalo Guedes,POR,"FW,MF",25,1996,7.9,27,3.44,15,3,1,2,5,1,1,0.13,1,0,0,0,0,0
ENG-Premier League,2223,Wolves,Hugo Bueno,ESP,DF,19,2002,14.6,30,2.06,22,7,0,1,0,0,1,0.07,1,0,0,0,0,0
ENG-Premier League,2223,Wolves,Hwang Hee-chan,KOR,"FW,MF",26,1996,12.6,30,2.39,25,0,2,1,2,0,2,0.16,2,0,0,0,0,0
ENG-Premier League,2223,Wolves,Jonny Castro,ESP,DF,28,1994,14.0,24,1.71,20,0,0,0,3,1,1,0.07,1,0,0,0,0,0
ENG-Premier League,2223,Wolves,Joseph Hodge,IRL,MF,19,2002,1.9,2,1.02,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,José Sá,POR,GK,29,1993,36.0,1,0.03,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,João Gomes,BRA,MF,21,2001,7.3,14,1.93,9,0,1,2,2,0,2,0.28,1,0,0,1,0,0
ENG-Premier League,2223,Wolves,João Moutinho,POR,MF,35,1986,19.8,66,3.34,49,14,0,2,1,0,3,0.15,3,0,0,0,0,0
ENG-Premier League,2223,Wolves,Leander Dendoncker,BEL,MF,27,1995,2.4,4,1.68,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Mario Lemina,GAB,MF,28,1993,14.4,8,0.55,6,0,0,0,0,2,2,0.14,1,0,0,0,0,1
ENG-Premier League,2223,Wolves,Matheus Cunha,BRA,FW,23,1999,10.7,21,1.96,16,1,1,1,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Matheus Nunes,POR,MF,23,1998,27.4,59,2.15,49,2,4,2,2,0,5,0.18,3,0,2,0,0,0
ENG-Premier League,2223,Wolves,Max Kilman,ENG,DF,25,1997,36.7,23,0.63,20,0,0,2,1,0,2,0.05,1,0,0,1,0,0
ENG-Premier League,2223,Wolves,Morgan Gibbs-White,ENG,"FW,MF",22,2000,2.0,4,2.0,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Nathan Collins,IRL,DF,21,2001,20.2,10,0.5,7,0,1,0,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Nélson Semedo,POR,DF,28,1993,29.2,35,1.2,28,0,0,4,3,0,3,0.1,3,0,0,0,0,0
ENG-Premier League,2223,Wolves,Pablo Sarabia,ESP,"FW,MF",30,1992,8.5,31,3.65,21,5,0,5,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Pedro Neto,POR,"FW,MF",22,2000,10.7,41,3.82,23,6,2,4,5,1,6,0.56,4,0,0,1,1,0
ENG-Premier League,2223,Wolves,Rayan Aït-Nouri,ALG,DF,21,2001,12.0,23,1.93,14,2,4,1,2,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Raúl Jiménez,MEX,FW,31,1991,9.4,18,1.92,12,0,1,3,2,0,2,0.21,1,0,0,1,0,0
ENG-Premier League,2223,Wolves,Rúben Neves,POR,MF,25,1997,33.5,80,2.38,55,11,3,4,3,4,3,0.09,2,1,0,0,0,0
ENG-Premier League,2223,Wolves,Sasa Kalajdzic,AUT,FW,25,1997,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2223,Wolves,Toti Gomes,POR,DF,23,1999,10.9,9,0.82,9,0,0,0,0,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,86,2.59,76,5,1,2,0,2,7,0.21,6,0,0,1,0,0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,188,5.8,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,13,3.31,10,1,0,1,1,0,2,0.51,1,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,92,4.1,63,6,12,8,1,2,11,0.49,7,1,1,2,0,0
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,13,1.24,10,2,0,0,1,0,4,0.38,3,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31,1991,10.2,27,2.64,25,0,0,1,0,1,5,0.49,5,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,220,6.41,178,17,8,10,6,1,23,0.67,18,2,0,2,1,0
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,67,3.5,64,1,1,1,0,0,6,0.31,5,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,9,3.02,7,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,17,1.33,16,0,0,1,0,0,2,0.16,2,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,25,2.86,24,0,0,0,1,0,4,0.46,4,0,0,0,0,0
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22,2001,38.0,29,0.76,26,0,1,2,0,0,3,0.08,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27,1995,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Calum Chambers,ENG,"MF,DF",28,1995,1.7,1,0.6,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,MF,22,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,9,0.45,9,0,0,0,0,0,2,0.1,2,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,117,3.52,61,34,6,10,5,1,10,0.3,5,4,0,0,1,0
