league,season,team,name,nation,pos,age,born,minute_90s,sca,sca_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
ENG-Premier League,1819,Manchester Utd,Romelu Lukaku,BEL,FW,25,1993,23.7,56,2.36,47,0,3,5,1,0,7,0.29,6,0,0,0,1,0
ENG-Premier League,1819,Manchester Utd,Scott McTominay,SCO,"MF,DF",21,1996,9.6,8,0.83,5,0,1,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Manchester Utd,Tahith Chong,NED,FW,18,1999,0.4,2,4.74,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Manchester Utd,Victor Lindelöf,SWE,DF,24,1994,28.9,13,0.45,10,0,1,1,0,1,1,0.03,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Antonio Barreca,ITA,DF,23,1995,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Ayoze Pérez,ESP,"MF,FW",25,1993,32.4,91,2.81,70,0,6,7,5,3,6,0.19,5,0,1,0,0,0
ENG-Premier League,1819,Newcastle Utd,Christian Atsu,GHA,MF,26,1992,16.6,42,2.53,32,0,1,4,5,0,5,0.3,3,0,1,1,0,0
ENG-Premier League,1819,Newcastle Utd,Ciaran Clark,IRL,DF,28,1989,9.5,6,0.63,4,0,0,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,DeAndre Yedlin,USA,DF,25,1993,27.5,54,1.97,40,8,1,2,2,1,8,0.29,5,2,0,1,0,0
ENG-Premier League,1819,Newcastle Utd,Fabian Schär,SUI,DF,26,1991,22.2,32,1.44,29,0,2,1,0,0,1,0.05,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Federico Fernández,ARG,DF,29,1989,16.5,11,0.67,9,1,0,0,0,1,2,0.12,2,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Florian Lejeune,FRA,DF,27,1991,11.7,13,1.11,11,0,0,1,1,0,1,0.09,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Isaac Hayden,ENG,MF,23,1995,20.7,41,1.98,36,0,1,0,1,3,4,0.19,3,0,0,0,0,1
ENG-Premier League,1819,Newcastle Utd,Jacob Murphy,ENG,"MF,DF",23,1995,3.4,2,0.59,2,0,0,0,0,0,1,0.3,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Jamaal Lascelles,ENG,DF,24,1993,30.5,12,0.39,9,2,0,1,0,0,1,0.03,0,0,0,1,0,0
ENG-Premier League,1819,Newcastle Utd,Javier Manquillo,ESP,DF,24,1994,12.2,28,2.29,22,3,0,0,3,0,3,0.25,3,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Jonjo Shelvey,ENG,MF,26,1992,10.5,51,4.84,32,10,4,3,0,2,1,0.09,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Joselu,ESP,FW,28,1990,6.6,6,0.91,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Kenedy,BRA,"MF,DF",22,1996,15.0,50,3.34,34,2,4,2,5,3,2,0.13,2,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Ki Sung-yueng,KOR,MF,29,1989,14.5,39,2.7,22,14,0,1,2,0,3,0.21,2,0,0,1,0,0
ENG-Premier League,1819,Newcastle Utd,Martin Dúbravka,SVK,GK,29,1989,38.0,5,0.13,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Matt Ritchie,SCO,"DF,MF",28,1989,32.5,109,3.35,61,33,5,5,4,1,12,0.37,6,3,2,1,0,0
ENG-Premier League,1819,Newcastle Utd,Miguel Almirón,PAR,MF,24,1994,8.4,36,4.27,27,0,1,3,3,2,3,0.36,1,0,0,1,1,0
ENG-Premier League,1819,Newcastle Utd,Mohamed Diamé,SEN,MF,31,1987,24.1,33,1.37,20,0,4,3,5,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Paul Dummett,WAL,DF,26,1991,22.1,26,1.18,21,3,0,2,0,0,1,0.05,1,0,0,0,0,0
ENG-Premier League,1819,Newcastle Utd,Salomón Rondón,VEN,FW,28,1989,28.9,73,2.52,61,0,2,7,2,1,11,0.38,7,0,0,4,0,0
ENG-Premier League,1819,Newcastle Utd,Sean Longstaff,ENG,MF,20,1997,7.6,13,1.7,10,0,2,0,1,0,2,0.26,1,0,0,0,1,0
ENG-Premier League,1819,Newcastle Utd,Yoshinori Mutō,JPN,"FW,MF",26,1992,5.8,11,1.89,10,0,0,0,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Alex McCarthy,ENG,GK,28,1989,25.0,2,0.08,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Angus Gunn,SCO,GK,22,1996,12.0,3,0.25,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Callum Slattery,ENG,MF,19,1999,1.2,3,2.41,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Charlie Austin,ENG,FW,29,1989,10.9,23,2.11,13,0,0,5,3,2,2,0.18,1,0,0,1,0,0
ENG-Premier League,1819,Southampton,Cédric Soares,POR,DF,26,1991,16.6,31,1.87,26,2,1,1,0,1,3,0.18,3,0,0,0,0,0
ENG-Premier League,1819,Southampton,Danny Ings,ENG,FW,26,1992,18.3,61,3.33,43,0,9,4,3,2,7,0.38,2,0,1,0,3,1
ENG-Premier League,1819,Southampton,Fraser Forster,ENG,GK,30,1988,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Jack Stephens,ENG,DF,24,1994,18.9,15,0.79,14,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,James Ward-Prowse,ENG,"MF,DF",23,1994,21.6,72,3.33,32,30,0,2,3,5,3,0.14,2,0,0,0,0,1
ENG-Premier League,1819,Southampton,Jan Bednarek,POL,DF,22,1996,23.9,18,0.75,13,2,0,3,0,0,2,0.08,2,0,0,0,0,0
ENG-Premier League,1819,Southampton,Jannik Vestergaard,DEN,DF,25,1992,22.5,14,0.62,11,0,1,1,1,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Josh Sims,ENG,MF,21,1997,2.4,5,2.12,3,0,1,0,1,0,3,1.27,3,0,0,0,0,0
ENG-Premier League,1819,Southampton,Kayne Ramsey,ENG,DF,17,2000,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Manolo Gabbiadini,ITA,"FW,MF",26,1991,5.3,10,1.89,7,0,1,0,2,0,1,0.19,1,0,0,0,0,0
ENG-Premier League,1819,Southampton,Mario Lemina,GAB,MF,24,1993,17.9,48,2.68,38,0,5,2,3,0,4,0.22,1,0,0,2,1,0
ENG-Premier League,1819,Southampton,Matt Targett,ENG,DF,22,1995,13.2,41,3.11,23,13,0,2,2,1,4,0.3,3,1,0,0,0,0
ENG-Premier League,1819,Southampton,Maya Yoshida,JPN,DF,29,1988,16.9,13,0.77,7,0,0,5,1,0,3,0.18,2,0,0,1,0,0
ENG-Premier League,1819,Southampton,Michael Obafemi,IRL,FW,18,2000,1.5,7,4.6,4,0,1,1,1,0,1,0.66,1,0,0,0,0,0
ENG-Premier League,1819,Southampton,Mohamed Elyounoussi,NOR,MF,23,1994,8.8,34,3.86,16,7,4,3,3,1,1,0.11,1,0,0,0,0,0
ENG-Premier League,1819,Southampton,Nathan Redmond,ENG,"MF,FW",24,1994,36.3,135,3.72,101,1,17,10,3,3,11,0.3,8,0,1,1,0,1
ENG-Premier League,1819,Southampton,Oriol Romeu,ESP,MF,26,1991,23.7,31,1.31,25,0,0,6,0,0,3,0.13,2,0,0,1,0,0
ENG-Premier League,1819,Southampton,Pierre Højbjerg,DEN,MF,22,1995,30.7,80,2.61,61,1,3,5,6,4,8,0.26,7,0,1,0,0,0
ENG-Premier League,1819,Southampton,Ryan Bertrand,ENG,DF,28,1989,24.0,53,2.21,36,11,0,1,4,1,6,0.25,4,2,0,0,0,0
ENG-Premier League,1819,Southampton,Sam Gallagher,ENG,FW,22,1995,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Shane Long,IRL,"FW,MF",31,1987,14.1,30,2.12,20,0,1,4,3,2,3,0.21,1,0,0,0,1,1
ENG-Premier League,1819,Southampton,Steven Davis,NIR,MF,33,1985,1.1,8,7.35,8,0,0,0,0,0,1,0.92,1,0,0,0,0,0
ENG-Premier League,1819,Southampton,Stuart Armstrong,SCO,MF,26,1992,15.9,61,3.83,43,2,3,5,7,1,8,0.5,6,0,0,0,2,0
ENG-Premier League,1819,Southampton,Tyreke Johnson,ENG,MF,19,1998,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,1819,Southampton,Wesley Hoedt,NED,DF,24,1994,13.0,6,0.46,6,0,0,0,0,0,1,0.08,1,0,0,0,0,0
ENG-Premier League,1819,Southampton,Yan Valery,TUN,DF,19,1999,19.0,15,0.79,10,1,2,1,1,0,2,0.11,2,0,0,0,0,0
ENG-Premier League,1819,Tottenham,Ben Davies,WAL,DF,25,1993,20.5,37,1.81,26,4,0,3,1,3,3,0.15,2,0,0,0,0,1
